('109 Cinemas Grandberry Mall', 310, '3D', 'Japan, Tokyo'),
('AMC Cinemas Al Khobar', 170, 'Standard', 'Saudi Arabia, Al Khobar'),
('AMC Cinemas Azizia Mall', 310, '3D', 'Saudi Arabia, Riyadh'),
('AMC Cinemas Granada Center', 220, 'IMAX', 'Saudi Arabia, Riyadh'),
('AMC Cinemas Hayat Mall', 170, 'Standard', 'Saudi Arabia, Riyadh'),
('AMC Cinemas Red Sea Mall', 230, 'Standard', 'Saudi Arabia, Jeddah'),
('AMC Cinemas Riyadh Park', 280, 'IMAX', 'Saudi Arabia, Riyadh'),
('AMC Empire 25', 200, 'IMAX', 'USA, New York'),
('AMC Lincoln Square', 280, 'IMAX', 'USA, New York'),
('AMC Lincoln Square 13', 280, 'IMAX', 'USA, New York'),
('AMC Loews Lincoln Square 13', 280, 'IMAX', 'USA, New York'),
('AMC Metreon', 260, 'Standard', 'USA, San Francisco'),
('Aeon Cinema Itami', 260, 'Standard', 'Japan, Itami'),
('Al Jazeera Cinema', 290, 'IMAX', 'Qatar, Doha'),
('Alamo Drafthouse Cinema', 310, '3D', 'USA, Austin'),
('Ambassador Theaters', 200, '3D', 'Taiwan, Taipei'),
('Ambassador Theatres Chiayi', 290, 'IMAX', 'Taiwan, Chiayi'),
('Ambassador Theatres Kaohsiung', 190, '3D', 'Taiwan, Kaohsiung'),
('Ambassador Theatres Taipei', 230, 'Standard', 'Taiwan, Taipei'),
('Ambassador Theatres Taoyuan', 260, 'Standard', 'Taiwan, Taoyuan'),
('Americana Plaza Cinema', 230, 'Standard', 'Egypt, Cairo'),
('Americana Plaza Cinemas', 230, 'Standard', 'Egypt, Cairo'),
('Americana Plaza Mall Cinemas', 230, 'Standard', 'Egypt, Cairo'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Anteo Palazzo del Cinema', 250, 'Standard', 'Italy, Milan'),
('ArcLight Hollywood', 230, 'Standard', 'USA, Los Angeles'),
('Arclight Cinemas Hollywood', 230, 'Standard', 'USA, Los Angeles'),
('Arena Cinema', 310, '3D', 'Pakistan, Faisalabad'),
('Arena Cinemas', 310, '3D', 'Switzerland, Zurich'),
('Arena Cinemas Fribourg', 290, 'IMAX', 'Switzerland, Fribourg'),
('Arena Cinemas La Praille', 230, 'Standard', 'Switzerland, Geneva'),
('Arena Cinemas Sihlcity', 170, 'Standard', 'Switzerland, Zurich'),
('Arkan Plaza Cinemas', 170, 'Standard', 'Egypt, Sheikh Zayed'),
('Atlas Flores', 260, 'Standard', 'Argentina, Buenos Aires'),
('Atrium Cinemas', 220, 'IMAX', 'Pakistan, Karachi'),
('Aventure', 290, 'IMAX', 'Belgium, Brussels'),
('Ayala Malls Cinemas Greenbelt 3', 230, 'Standard', 'Philippines, Makati'),
('Ayala Malls Cinemas Trinoma', 220, 'IMAX', 'Philippines, Quezon City'),
('Ayala Malls Cinemas U.P. Town Center', 170, 'Standard', 'Philippines, Quezon City'),
('Ayala Malls TriNoma Cinema', 230, 'Standard', 'Philippines, Quezon City'),
('BFI Southbank', 240, 'Standard', 'United Kingdom, London'),
('BHD Star Bitexco Financial Tower', 290, 'IMAX', 'Vietnam, Ho Chi Minh City'),
('BHD Star Cineplex Bitexco Financial Tower', 260, 'Standard', 'Vietnam, Ho Chi Minh City'),
('BHD Star Vincom Long Bien', 240, 'Standard', 'Vietnam, Hanoi'),
('BHD Star Vincom Nguyen Chi Thanh', 220, 'IMAX', 'Vietnam, Hanoi'),
('BHD Star Vincom Thao Dien', 200, '3D', 'Vietnam, Ho Chi Minh City'),
('Balaka Cineworld', 200, '3D', 'Bangladesh, Dhaka'),
('Balaka Cineworld Coxs Bazar', 170, 'Standard', 'Bangladesh, Coxs Bazar'),
('Bio Oko', 310, '3D', 'Czech Republic, Prague'),
('Biopalatset', 230, 'Standard', 'Sweden, Malmö'),
('Blockbuster Cinemas', 230, 'Standard', 'Bangladesh, Dhaka'),
('Blockbuster Cinemas Concord', 260, 'Standard', 'Bangladesh, Dhaka'),
('Blockbuster Cinemas Concord Bakshibazar', 190, '3D', 'Bangladesh, Dhaka'),
('Blockbuster Cinemas Cumilla', 290, 'IMAX', 'Bangladesh, Cumilla'),
('Blockbuster Cinemas Jamuna Future Park', 230, 'Standard', 'Bangladesh, Dhaka'),
('Blockbuster Cinemas Shimanto Shambhar', 200, '3D', 'Bangladesh, Dhaka'),
('Blockbuster Cinemas Sylhet', 190, '3D', 'Bangladesh, Sylhet'),
('Bona Cinema', 200, 'Standard', 'China, Beijing'),
('Bona Cinema Beijing Road', 290, '3D', 'China, Guangzhou'),
('Bona Cinema Chaoyang Joy City', 200, 'Standard', 'China, Beijing'),
('Bona Cinema Chaoyang U-Town', 200, 'Standard', 'China, Beijing'),
('Bona Cinema Chunxi Road', 170, 'IMAX', 'China, Chengdu'),
('Bona Cinema Wangfujing', 200, 'Standard', 'China, Beijing'),
('Bona International Cineplex', 200, 'Standard', 'China, Beijing'),
