('Aabis', 'Raza', 'Pakistani'),
('Aamir', 'Khan', 'Indian'),
('Abbas', 'Kiarostami', 'Iranian'),
('Abbas', 'Mustan', 'Indian'),
('Abderrahmane', 'Sissako', 'Mauritanian'),
('Adam', 'Shankman', 'American'),
('Adeel', 'Hussain', 'Pakistani'),
('Adeel', 'Qamar', 'Pakistani'),
('Aditya', 'Assarat', 'Thai'),
('Aditya', 'Chopra', 'Indian'),
('Adnan', 'Sarwar', 'Pakistani'),
('Agnes', 'Merlet', 'French'),
('Agnes', 'Varda', 'French'),
('Agnieszka', 'Holland', 'Polish'),
('Agnieszka', 'Smoczyńska', 'Polish'),
('Agnieszka', 'Wojtowicz-Vosloo', 'Polish'),
('Ahmed', 'Awad', 'Egyptian'),
('Ahmed', 'Nader Galal', 'Egyptian'),
('Ahmed', 'Zaki', 'Egyptian'),
('Aki', 'Kaurismäki', 'Finnish'),
('Aki-Petteri', 'Virta', 'Finnish'),
('Akin', 'Omotoso', 'Nigerian'),
('Akira', 'Kurosawa', 'Japanese'),
('Alain', 'Tanner', 'Swiss'),
('Alan', 'Clarke', 'British'),
('Alberto', 'Fuguet', 'Chilean'),
('Alejandro', 'Aguirre', 'Colombian'),
('Alejandro', 'Amenábar', 'Chilean-Spanish'),
('Alejandro', 'Doria', 'Argentinian'),
('Alejandro', 'González Iñárritu', 'Mexican'),
('Alekos', 'Sakellarios', 'Greek'),
('Aleksander', 'Nordaas', 'Norwegian'),
('Aleksandr', 'Sokurov', 'Russian'),
('Aleksi', 'Mäkelä', 'Finnish'),
('Aleksi', 'Salmenperä', 'Finnish'),
('Alex', 'Garland', 'British'),
('Alex', 'van Warmerdam', 'Dutch'),
('Alfonso', 'Cuarón', 'Mexican'),
('Alfred', 'Hitchcock', 'British'),
('Ali', 'Abdel Khalek', 'Egyptian'),
('Alice', 'Nellis', 'Czech'),
('Alicia', 'Scherson', 'Chilean'),
('Alonso', 'Ruizpalacios', 'Mexican'),
('Amat', 'Escalante', 'Mexican'),
('Amit', 'Sharma', 'Indian'),
('Amma', 'Asante', 'British'),
('Amr', 'Waked', 'Egyptian'),
('Ana', 'Katz', 'Argentinian'),
('Anahí', 'Berneri', 'Argentinian'),
('Anand', 'L. Rai', 'Indian'),
('Anders', 'Thomas Jensen', 'Danish'),
('Andrea', 'Arnold', 'British'),
('Andreas', 'Dresen', 'German'),
('Andreas', 'Gruber', 'Austrian'),
