('Aamir', 'Khan', 'm'),
('Aaron', 'Eckhart', 'm'),
('Aaron', 'Taylor-Johnson', 'm'),
('Abbie', 'Cornish', 'f'),
('Abhay', 'Deol', 'm'),
('Abhishek', 'Bachchan', 'm'),
('Adam', 'Sandler', 'm'),
('Adel', 'Emam', 'm'),
('Adele', 'Exarchopoulos', 'f'),
('Adepero', 'Oduye', 'f'),
('Adesua', 'Etomi', 'f'),
('Aditi', 'Rao Hydari', 'f'),
('Aditya', 'Roy Kapur', 'm'),
('Adnan', 'Malik', 'm'),
('Adolfo', 'Jiménez Castro', 'm'),
('Adriano', 'Luz', 'm'),
('Adrien', 'Brody', 'm'),
('Adrián', 'Suar', 'm'),
('Aga', 'Muhlach', 'm'),
('Agheleh', 'Rezaie', 'f'),
('Agnieszka', 'Dygant', 'f'),
('Ah-in', 'Yoo', 'm'),
('Ahmad', 'Thaher', 'm'),
('Ahmed', 'Ali', 'm'),
('Ahmed', 'El Sakka', 'm'),
('Ahmed', 'Helmy', 'm'),
('Ahmed', 'Ibrahim', 'm'),
('Ahmed', 'Malek', 'm'),
('Ahmed', 'Zaki', 'm'),
('Ahmet', 'Mekin', 'm'),
('Ahsan', 'Khan', 'm'),
('Aishwarya', 'Rai Bachchan', 'f'),
('Ajay', 'Devgn', 'm'),
('Aki', 'Asakura', 'f'),
('Akshay', 'Kumar', 'm'),
('Al', 'Pacino', 'm'),
('Alan', 'Bates', 'm'),
('Alan', 'Passalaqua', 'm'),
('Alberto', 'Ledesma', 'm'),
('Aldemar', 'Correa', 'm'),
('Alejandra', 'Ullod', 'f'),
('Alejandro', 'Ferreira', 'm'),
('Aleksandr', 'Abdulov', 'm'),
('Aleksandr', 'Kaidanovsky', 'm'),
('Aleksei', 'Kravchenko', 'm'),
('Aleksei', 'Petrenko', 'm'),
('Aleksey', 'Petrenko', 'm'),
('Alex', 'Frost', 'm'),
('Alex', 'Pettyfer', 'm'),
('Alexandre', 'Alexeieff', 'm'),
('Alfred', 'Abel', 'm'),
('Alia', 'Bhatt', 'f'),
('Alicia', 'Rodriguez', 'f'),
('Alicia', 'Vikander', 'f'),
('Alireza', 'Osivand', 'm'),
('Alison', 'Pill', 'f'),
('Amanda', 'Langlet', 'f'),
('Amitabh', 'Bachchan', 'm'),
('Aml Eysan', 'Ameen', 'm'),
