('AMC Empire 25', 300, 'IMAX', 'USA, New York'),
('Cinerama Dome', 250, 'Standard', 'USA, Los Angeles'),
('Le Grand Rex', 200, '3D', 'France, Paris'),
('Lumière Cinéma', 150, 'Standard', 'France, Lyon'),
('ODEON Leicester Square', 180, 'IMAX', 'UK, London'),
('HOME Manchester', 220, 'Standard', 'UK, Manchester'),
('Zoo Palast', 300, '3D', 'Germany, Berlin'),
('Mathäser Filmpalast', 250, 'Standard', 'Germany, Munich'),
('Hoyts Cinema', 180, 'IMAX', 'Australia, Sydney'),
('Village Cinemas', 200, 'Standard', 'Australia, Melbourne'),
('Scotiabank Theatre', 150, '3D', 'Canada, Toronto'),
('Cineplex Odeon', 220, 'Standard', 'Canada, Vancouver'),
('Cinépolis Lagoon', 300, 'IMAX', 'Brazil, Rio de Janeiro'),
('Cinemark SP Market', 250, 'Standard', 'Brazil, Sao Paulo'),
('PVR Cinemas', 180, '3D', 'India, Mumbai'),
('INOX Leisure', 200, 'Standard', 'India, Delhi'),
('Wanda Cinema', 150, 'IMAX', 'China, Beijing'),
('Shanghai Film Art Center', 220, 'Standard', 'China, Shanghai'),
('Toho Cinemas', 300, '3D', 'Japan, Tokyo'),
('Umeda Burg 7', 250, 'Standard', 'Japan, Osaka'),
('CGV Cinemas', 180, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema', 200, 'Standard', 'South Korea, Busan'),
('Cinemex', 150, '3D', 'Mexico, Mexico City'),
('Cinepolis Diana', 220, 'Standard', 'Mexico, Guadalajara'),
('Cinecittà', 300, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo del Cinema', 250, 'Standard', 'Italy, Milan'),
('Cine Capitol', 180, '3D', 'Spain, Madrid'),
('Cinemes Full HD', 200, 'Standard', 'Spain, Barcelona'),
('Octagon Cinema', 150, 'IMAX', 'Russia, Moscow'),
('Formula Kino', 220, 'Standard', 'Russia, St. Petersburg'),
('Village Cinemas Recoleta', 300, '3D', 'Argentina, Buenos Aires'),
('Hoyts Dot', 250, 'Standard', 'Argentina, Cordoba'),
('Ster-Kinekor', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro', 200, 'Standard', 'South Africa, Cape Town'),
('Prestige Cinema', 150, '3D', 'Kenya, Nairobi'),
('Sarit Centre IMAX', 220, 'Standard', 'Kenya, Mombasa'),
('Vox Cinemas', 300, 'IMAX', 'UAE, Dubai'),
('Novo Cinemas', 250, 'Standard', 'UAE, Abu Dhabi'),
('Cineco Cinemas', 180, '3D', 'Qatar, Doha'),
('VOX Cinemas', 200, 'Standard', 'Qatar, Al Rayyan'),
('VOX Cineco', 150, 'IMAX', 'Bahrain, Manama'),
('Seef Cinema', 220, 'Standard', 'Bahrain, Muharraq'),
('Cinescape', 300, '3D', 'Kuwait, Kuwait City'),
('Grand Cinemas', 250, 'Standard', 'Kuwait, Hawally'),
('City Cinema', 180, 'IMAX', 'Oman, Muscat'),
('VOX Cinemas', 200, 'Standard', 'Oman, Salalah'),
('Prime Cinemas', 150, '3D', 'Jordan, Amman'),
('Plaza Cinema', 220, 'Standard', 'Jordan, Zarqa'),
('VOX Cinemas', 300, 'IMAX', 'Lebanon, Beirut'),
('Cinemall', 250, 'Standard', 'Lebanon, Tripoli'),
('Regal Cinemas Battery Park', 280, 'IMAX', 'USA, New York'),
('ArcLight Hollywood', 230, 'Standard', 'USA, Los Angeles'),
('Gaumont Opéra', 190, '3D', 'France, Paris'),
('UGC Ciné Cité Confluence', 160, 'Standard', 'France, Lyon'),
('Prince Charles Cinema', 200, 'IMAX', 'UK, London'),
('The Printworks', 240, 'Standard', 'UK, Manchester'),
('Zoo Palast Berlin', 310, '3D', 'Germany, Berlin'),
('Gloria Palast München', 260, 'Standard', 'Germany, Munich'),
('Hoyts Entertainment Quarter', 200, 'IMAX', 'Australia, Sydney'),
