('Aamir', 'Khan', 'Indian'),
('Aaron', 'Eckhart', 'American'),
('Aaron', 'Taylor-Johnson', 'British'),
('Abbie', 'Cornish', 'Australian'),
('Abhay', 'Deol', 'Indian'),
('Abhishek', 'Bachchan', 'Indian'),
('Adam', 'Sandler', 'American'),
('Adel', 'Emam', 'Egyptian'),
('Adele', 'Exarchopoulos', 'French'),
('Adepero', 'Oduye', 'Nigerian'),
('Adesua', 'Etomi', 'Nigerian'),
('Aditi', 'Rao Hydari', 'Indian'),
('Aditya', 'Roy Kapur', 'Indian'),
('Adnan', 'Malik', 'Pakistani'),
('Adolfo', 'Jiménez Castro', 'Mexican'),
('Adriano', 'Luz', 'Portuguese'),
('Adrien', 'Brody', 'American'),
('Adrián', 'Suar', 'Argentinian'),
('Aga', 'Muhlach', 'Filipino'),
('Agheleh', 'Rezaie', 'Iranian'),
('Agnieszka', 'Dygant', 'Polish'),
('Ah-in', 'Yoo', 'South Korean'),
('Ahmad', 'Thaher', 'Jordanian'),
('Ahmed', 'Ali', 'Pakistani'),
('Ahmed', 'El Sakka', 'Egyptian'),
('Ahmed', 'Helmy', 'Egyptian'),
('Ahmed', 'Ibrahim', 'Sudanese'),
('Ahmed', 'Malek', 'Egyptian'),
('Ahmed', 'Zaki', 'Egyptian'),
('Ahmet', 'Mekin', 'Turkish'),
('Ahsan', 'Khan', 'Pakistani'),
('Aishwarya', 'Rai Bachchan', 'Indian'),
('Ajay', 'Devgn', 'Indian'),
('Aki', 'Asakura', 'Japanese'),
('Akshay', 'Kumar', 'Indian'),
('Al', 'Pacino', 'American'),
('Alan', 'Bates', 'British'),
('Alan', 'Passalaqua', 'Chilean'),
('Alberto', 'Ledesma', 'Argentinian'),
('Aldemar', 'Correa', 'Colombian'),
('Alejandra', 'Ullod', 'Chilean'),
('Alejandro', 'Ferreira', 'Mexican'),
('Aleksandr', 'Abdulov', 'Russian'),
('Aleksandr', 'Kaidanovsky', 'Russian'),
('Aleksei', 'Kravchenko', 'Russian'),
('Aleksei', 'Petrenko', 'Russian'),
('Aleksey', 'Petrenko', 'Russian'),
('Alex', 'Frost', 'American'),
('Alex', 'Pettyfer', 'English'),
('Alexandre', 'Alexeieff', 'Russian'),
('Alfred', 'Abel', 'German'),
('Alia', 'Bhatt', 'Indian'),
('Alicia', 'Rodriguez', 'Chilean'),
('Alicia', 'Vikander', 'Swedish'),
('Alireza', 'Osivand', 'Iranian'),
('Alison', 'Pill', 'Canadian'),
('Amanda', 'Langlet', 'French'),
('Amitabh', 'Bachchan', 'Indian'),
('Aml Eysan', 'Ameen', 'British'),
('Amol', 'Palekar', 'Indian'),
('Amr', 'Youssef', 'Egyptian'),
('Amrita', 'Rao', 'Indian'),
('Amy', 'Adams', 'American'),
('Ananda', 'Everingham', 'Thai'),
('Anchulee', 'Sricharoen', 'Thai'),
('Andrea', 'Bræin Hovig', 'Norwegian'),
('Andrea', 'Kastrinakis', 'Greek'),
('Andreas', 'Hochhäusler', 'German'),
('Andreas', 'Mattsson', 'Swedish'),
('Andreas', 'Sarantinos', 'Greek'),
('André', 'Hennicke', 'German'),
('Andy', 'Lau', 'Hong Kong'),
('Angelina', 'Jolie', 'American'),
('Anil', 'Kapoor', 'Indian'),
('Anita', 'Mui', 'Hong Kong'),
('Anna', 'Karina', 'Danish'),
('Anne', 'Hathaway', 'American'),
