('Christopher', 'Nolan', 'British'),
('Quentin', 'Tarantino', 'American'),
('Pedro', 'Almod var', 'Spanish'),
('Bong', 'Joon-ho', 'South Korean'),
('Greta', 'Gerwig', 'American'),
('Denis', 'Villeneuve', 'Canadian'),
('Guillermo', 'del Toro', 'Mexican'),
('Sofia', 'Coppola', 'American'),
('Martin', 'Scorsese', 'American'),
('Hayao', 'Miyazaki', 'Japanese'),
('Alfred', 'Hitchcock', 'British'),
('Akira', 'Kurosawa', 'Japanese'),
('Federico', 'Fellini', 'Italian'),
('Steven', 'Spielberg', 'American'),
('Ingmar', 'Bergman', 'Swedish'),
('Martin', 'Scorsese', 'American'),
('Stanley', 'Kubrick', 'American'),
('Wong', 'Kar-wai', 'Hong Kong'),
('Satyajit', 'Ray', 'Indian'),
('François', 'Truffaut', 'French'),
('Charlie', 'Chaplin', 'British'),
('Andrei', 'Tarkovsky', 'Russian'),
('David', 'Fincher', 'American'),
('Roman', 'Polanski', 'Polish'),
('Jean-Luc', 'Godard', 'French'),
('Ridley', 'Scott', 'British'),
('Spike', 'Lee', 'American'),
('Woody', 'Allen', 'American'),
('Orson', 'Welles', 'American'),
('Joel', 'Coen', 'American'),
('Ethan', 'Coen', 'American'),
('Stanley', 'Donen', 'American'),
('Richard', 'Linklater', 'American'),
('Bernardo', 'Bertolucci', 'Italian'),
('Lars', 'von Trier', 'Danish'),
('David', 'Lynch', 'American'),
('Michael', 'Haneke', 'Austrian'),
('Gus', 'Van Sant', 'American'),
('Clint', 'Eastwood', 'American'),
('Abbas', 'Kiarostami', 'Iranian'),
('Wes', 'Anderson', 'American'),
('Dario', 'Argento', 'Italian'),
('Ken', 'Loach', 'British'),
('Jean-Pierre', 'Jeunet', 'French'),
('Sofia', 'Coppola', 'American'),
('Park', 'Chan-wook', 'South Korean'),
('Ang', 'Lee', 'Taiwanese'),
('Vittorio', 'De Sica', 'Italian'),
('Zhang', 'Yimou', 'Chinese'),
('Joel', 'Schumacher', 'American'),
('Terry', 'Gilliam', 'American'),
('David', 'Cronenberg', 'Canadian'),
('Danny', 'Boyle', 'British'),
('James', 'Cameron', 'Canadian'),
('Ridley', 'Scott', 'British'),
('Akira', 'Kurosawa', 'Japanese'),
('Abbas', 'Kiarostami', 'Iranian'),
('Michael', 'Moore', 'American'),
('Wong', 'Kar-wai', 'Hong Kong'),
('Agnes', 'Varda', 'French'),
('Paul', 'Thomas Anderson', 'American'),
('Federico', 'Fellini', 'Italian'),
('Wes', 'Craven', 'American'),
('John', 'Ford', 'American'),
('Ang', 'Lee', 'Taiwanese'),
('Hayao', 'Miyazaki', 'Japanese'),
('Nuri', 'Bilge Ceylan', 'Turkish'),
('Darren', 'Aronofsky', 'American'),
('Joel', 'Coen', 'American'),
('Ethan', 'Coen', 'American'),
('Roman', 'Polanski', 'Polish'),
('David', 'Fincher', 'American'),
('Spike', 'Jonze', 'American'),
('Francis', 'Ford Coppola', 'American'),
('Milos', 'Forman', 'Czech'),
('Roberto', 'Benigni', 'Italian'),
('Jean', 'Renoir', 'French'),
('Andrei', 'Tarkovsky', 'Russian'),
('Clint', 'Eastwood', 'American'),
('John', 'Cassavetes', 'American'),
('Hayao', 'Miyazaki', 'Japanese'),
('Werner', 'Herzog', 'German'),
('Wong', 'Kar-wai', 'Hong Kong'),
('Yorgos', 'Lanthimos', 'Greek'),
('Alfonso', 'Cuarón', 'Mexican'),
('John', 'Hughes', 'American'),
('Sergio', 'Leone', 'Italian'),
('M.', 'Night Shyamalan', 'American'),
('Terrence', 'Malick', 'American'),
('Fritz', 'Lang', 'Austrian'),
('Jim', 'Jarmusch', 'American'),
('Michael', 'Mann', 'American'),
('Wong', 'Kar-wai', 'Hong Kong'),
('Kenji', 'Mizoguchi', 'Japanese'),
('Jonathan', 'Demme', 'American'),
('Oliver', 'Stone', 'American'),
('Robert', 'Altman', 'American'),
('Tim', 'Burton', 'American'),
('Rajkumar', 'Hirani', 'Indian'),
('Karan', 'Johar', 'Indian'),
('Aditya', 'Chopra', 'Indian'),
('Sanjay', 'Leela Bhansali', 'Indian'),
('Aamir', 'Khan', 'Indian'),
('Farhan', 'Akhtar', 'Indian'),
('Yash', 'Chopra', 'Indian'),
('Mahesh', 'Bhatt', 'Indian'),
('Vidhu', 'Vinod Chopra', 'Indian'),
('Anurag', 'Kashyap', 'Indian'),
('Rohit', 'Shetty', 'Indian'),
('Kabir', 'Khan', 'Indian'),
('Zoya', 'Akhtar', 'Indian'),
('Subhash', 'Ghai', 'Indian'),
('Ashutosh', 'Gowariker', 'Indian'),
('Rakesh', 'Roshan', 'Indian'),
('Priyadarshan', 'Soman Nair', 'Indian'),
('Manmohan', 'Desai', 'Indian'),
('Anurag', 'Basu', 'Indian'),
('Raj', 'Kumar Gupta', 'Indian'),
('Shoojit', 'Sircar', 'Indian'),
('Anurag', 'Singh', 'Indian'),
('Homi', 'Adajania', 'Indian'),
('Neeraj', 'Pandey', 'Indian'),
('Farah', 'Khan', 'Indian'),
('Sooraj', 'Barjatya', 'Indian'),
('Kunal', 'Kohli', 'Indian'),
('Siddharth', 'Anand', 'Indian'),
('Kunal', 'Deshmukh', 'Indian'),
('Abbas', 'Mustan', 'Indian'),
('Rohit', 'Dhawan', 'Indian'),
('Imtiaz', 'Ali', 'Indian'),
('Vipul', 'Amrutlal Shah', 'Indian'),
('Tigmanshu', 'Dhulia', 'Indian'),
('Milap', 'Zaveri', 'Indian'),
('Anees', 'Bazmee', 'Indian'),
('Vikram', 'Bhatt', 'Indian'),
('Anubhav', 'Sinha', 'Indian'),
('Shashank', 'Khaitan', 'Indian'),
('Sujoy', 'Ghosh', 'Indian'),
('Nikkhil', 'Advani', 'Indian'),
('Luv', 'Ranjan', 'Indian'),
('Nitesh', 'Tiwari', 'Indian'),
('Amit', 'Sharma', 'Indian'),
('Sajid', 'Khan', 'Indian'),
('Raj', 'Kumar Santoshi', 'Indian'),
('Anand', 'L. Rai', 'Indian'),
('Anil', 'Sharma', 'Indian'),
('Rumi', 'Jaffery', 'Indian'),
('Prabhu', 'Deva', 'Indian'),
('Mudassar', 'Aziz', 'Indian'),
('Krishna', 'D.K.', 'Indian'),
('Raj', 'Nidimoru', 'Indian'),
('Nikkhil', 'Advani', 'Indian'),
('Sohail', 'Khan', 'Indian'),
('Mohit', 'Suri', 'Indian'),
('Rakeysh', 'Omprakash Mehra', 'Indian'),
('Suneel', 'Darshan', 'Indian'),
('Indra', 'Kumar', 'Indian'),
('Rajiv', 'Rai', 'Indian'),
('Sunil', 'Dutt', 'Indian'),
('Anil', 'Ganguly', 'Indian'),
('Hrishikesh', 'Mukherjee', 'Indian'),
('Basu', 'Chatterjee', 'Indian'),
('Manmohan', 'Singh', 'Indian'),
('Satyen', 'Bose', 'Indian'),
('Shakti', 'Samanta', 'Indian'),
('Prakash', 'Mehra', 'Indian'),
('Ramesh', 'Sippy', 'Indian'),
('Manoj', 'Kumar', 'Indian'),
('Nasir', 'Hussain', 'Indian'),
('Bimal', 'Roy', 'Indian'),
('Vijay', 'Anand', 'Indian'),
('Raj', 'Kapoor', 'Indian'),
('Guru', 'Dutt', 'Indian'),
('Raj', 'Khosla', 'Indian'),
('Dev', 'Anand', 'Indian'),
('Mehboob', 'Khan', 'Indian'),
('Subhash', 'Ghai', 'Indian'),
('Raj', 'Kumar Santoshi', 'Indian'),
('Yash', 'Chopra', 'Indian'),
('Karan', 'Johar', 'Indian'),
('Aditya', 'Chopra', 'Indian'),
('Sanjay', 'Leela Bhansali', 'Indian'),
('Sofia', 'Coppola', 'American'),
('Martin', 'Scorsese', 'American'),
('Stanley', 'Kubrick', 'American'),
('Wong', 'Kar-wai', 'Hong Kong'),
('Satyajit', 'Ray', 'Indian'),
('François', 'Truffaut', 'French'),
('Christopher', 'Nolan', 'British'),
('Quentin', 'Tarantino', 'American'),
